job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,posted_on,
Hiring For SPE - KYC Commercial Banking - Bangalore/Hyderabad,Cognizant,3.9,31515 Reviews,1-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Shift : General + UK Shift ( Rotational ) Bachelors Degree and / or Graduate Degree Edu...,"non voice process
commercial banking
investment banking
non voice
kyc
voice process
voice
hiring",5 Days Ago,
Retail Sales Executive,Giva Giva A Unit Of Indiejewel Fashions,3,2 Reviews,1-5 Yrs,2-3 Lacs PA,"Mumbai (All Areas), Pune, Bangalore/Bengaluru, Delhi / NCR",To be successful as a sales executive you should be an inspired self-starter and able t...,"Retail Sales
retail
fashion
sales
communication skills
consulting
sales executive activities
Fashion Consultant",6 Days Ago,
Software Engineer,Siemens,4.2,5124 Reviews,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,1) proficient in developing custom components from scratch in Android with capacitor 2)...,"android
management
interface design
interfaces
object
software engineering
oops
ui",13 Days Ago,
Software Developer,Siemens,4.2,5124 Reviews,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,". . SoftwareDevelopment Experience of 4-7 years . Exposure to Git, Working experience o...","software development
design
coding
automation
analytics
management
configuration management
software configuration",13 Days Ago,
Software Developer,Siemens,4.2,5124 Reviews,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Experience: 2 - 4 years of experience in software development . . Do technical evaluati...,"python
programming
devops
analytical
analytics
javascript
usage
software",13 Days Ago,
"Full Stack Developer-C#,.Net,Azure",Siemens,4.2,5124 Reviews,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,Validation of the implemented features . . General Experience Skill Set . . BE / BTech ...,"Medical devices
TDD
PAAS
Web development
Javascript
Agile
Siemens
Healthcare",13 Days Ago,
Developer - C# .Net,Siemens,4.2,5124 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,You should have:At least 2+ years of programming experience indeveloping applications u...,"http
test cases
case
manual
automation
json
consulting
manual testing",13 Days Ago,
Database Developer - Oracle,Siemens,4.2,5124 Reviews,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Experience withOracle 19 / PostgreSQL . . Oracle PL / SQLPL/pgSQL Development . Experie...,"data integrity
dbms
database development
toad
integration
analysis
development
data analysis",13 Days Ago,
Database Administrator - Oracle,Siemens,4.2,5124 Reviews,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Experience using Oracle Automatic Storage Management (ASM) and Enterprise Manager Cloud...,"management
dbms
debugging
sql
storage management
oracle database
oracle
database design",13 Days Ago,
Clinical Affairs Professional,Siemens,4.2,5124 Reviews,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Collaborate with the project / program stakeholders for product knowledge and informati...,"healthcare
oncology
medical
medical devices
diagnostics
analytics
scientific writing
data",13 Days Ago,
Senior/Engineering Manager - R&D (System Level),VMware,4.3,577 Reviews,10-14 Yrs,Not disclosed,Bangalore/Bengaluru,"vLCM is a strategic area of investment for VMware, and we are looking to expand the alr...","senior
base
workflow
strategic planning
engineering
planning
marketing
html",13 Days Ago,
"Senior Analyst, Deal Management Team",VMware,4.3,577 Reviews,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Understand the role that DMT plays in the E2E deal lifecycle at VMware. Have a solid un...,"gui testing
analysis
vmware
wellness
usage
management
automation
acceptance testing",13 Days Ago,
Member of Technical Staff (Golang/Java),VMware,4.3,577 Reviews,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Design and Develop roadmap items on schedule with high quality. Play an active hands-on...,"software development life cycle
vmware
software development
distribution
data
monitoring
software testing
technical",13 Days Ago,
SAP - SAC - Senior Associate,PwC,3.7,4513 Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Proven expertise in optimization and troubleshooting performance of datamodels/reportsu...,"bw
sap
sac
backend
plsql
end
senior
performance tuning",13 Days Ago,
PwC Technology Workday Project Manager,PwC,3.7,4513 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Prior experience in delivering complex technology projects in global deployment environ...,"management
talent management
monitoring
technology
project delivery
planning
team management
workday",13 Days Ago,
Principal Test Engineer,Infineon,4.1,106 Reviews,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,Knowledge of T eradyne and Advantest SmarTest preferred Cross-functionally collaborate ...,"rf
product engineering
engineering
mixed signal
soc
computer science
troubleshooting
analysis",13 Days Ago,
Manager,PwC,3.7,4513 Reviews,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,Experience using statistical computer languages to manipulate data and draw insights fr...,"management
data management
neural networks
intelligence
networking
assurance
analytics
data",13 Days Ago,
DRP_CP&F - UI Developer Cyber Security - Senior Associate,PwC,3.7,4513 Reviews,1-5 Yrs,Not disclosed,Bangalore/Bengaluru,Uphold the firms code of ethics and business conduct. . . . - Experience in managing CI...,"delivery excellence
usage
ui
cyber security
senior
agile
excellence
management",13 Days Ago,
Data Historian Engineer,Cyient,3.7,3061 Reviews,4-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Minimum 4 to 10 years of Industry experience. Roles and Responsibilities: Gather input ...,"design
instruments
automation
analytics
system design
data
process control
engineering",30+ Days Ago,
"Internal Audit, Global Risk Assurance- Financial Services Hiring",Protiviti India,3.9,107 Reviews,25 Mar,Not disclosed,"Mumbai (All Areas), Gurgaon/Gurugram, Bangalore/Bengaluru",Education: . CA / MBA/CIA/ CISA/ SEMI/ CFA/ Semi Qualified and Graduate. Preferred Skil...,"Internal Audit
process
financial services
insurance
compliance
trade
sox
management",Walk-in,
Opening For Oracle DBA,Wipro,3.9,24792 Reviews,6-11 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai","Review requirement documents, define hardware requirements and update processes. and pr...","oracle dba
administration
upgradation
oracle
migration
dataguard
dbms
patching",7 Days Ago,
Consultant - BD ( Retail Lease Agreements ) - 6 Months Contract Role,Jubilant FoodWorks (JFL),3.9,1138 Reviews,1-3 Yrs,Not disclosed,"Noida, Mumbai, Bangalore/Bengaluru","Good Communication skills & Interpersonal skills, Persuasion & Tactful, Ability to work...","property tax
Register Agreements
Retail Agreements
real estate
lease deed
management
estate
contracts",17 Days Ago,
Django Developer,Disha Consultants,4.6,2 Reviews,4-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Database Designing, ORM experience required Key skills and Experience: Hands on experie...","management
mysql
django
software configuration
sql
configuration management
development
software",30+ Days Ago,
KYC Manager- Hyderabad/ Pune,Tech Mahindra,3.8,20425 Reviews,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune",Shift Timings- 4PM- 1AM IST ACAMS certification is preferredShould have multiple APMs a...,"remediation
kyc
correspondent banking
management
KYC Manager",6 Days Ago,
AI/ML/DL/ Computer vision Developer / Engineer,Cyient,3.7,3061 Reviews,8-10 Yrs,Not disclosed,"Noida, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Job Description Should have 8-10 years hands-on experience in algorithms and implementa...,"C++
jQuery
Linux
Javascript
Healthcare
J2Ee
microsoft
MATLAB",30+ Days Ago,
Senior Business Strategist(Credit Risk),PayU,3.1,100 Reviews,2-7 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Gurgaon/Gurugram, Bangalore/Bengaluru","Analytics programming skills (R, Python, SAS, Excel), willingness to work closely with ...","Credit Risk
senior
risk analysis
strategist
risk
credit
analysis
credit analysis",13 Days Ago,
Fresher Chartered Accountant,IDFC FIRST Bank,4,5735 Reviews,0-0 Yrs,8.5 Lacs PA,"Mumbai (All Areas), Chennai, Bangalore/Bengaluru, Delhi / NCR",We have some exciting roles for FULLY QUALIFIED Chartered Accountants for :- Taxation (...,"Ca
accounting",13 Days Ago,
"Ads Strategy & Solutions , JioMart Marketplace",Reliance Retail,4.1,18391 Reviews,10-15 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Bangalore/Bengaluru",Experience & Qualification . . Post Graduate/ Graduate in any stream . . 10 + years of ...,"Digital Sales
advertising
digital
sales
business development
development
marketing
ad sales",24 Days Ago,
Sr Java Tech Lead,Tech Mahindra,3.8,20425 Reviews,7-11 Yrs,15-27.5 Lacs PA (Including Variable: 10.0%),"Hybrid - Hyderabad/Secunderabad, Pune","Application designing experience, Good in design patterns etcGood Soft skills","Spring Boot
Java 8
Microservices
spring
boot
java
technical analysis
sr",5 Days Ago,
"C++, Qt Developer/Lead/Architec",Tata Elxsi,4.1,1093 Reviews,2-7 Yrs,15-20 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram","TATA ELXSI hiring engineers with experience in C++, Qt for Bangalore/Hyderabad/Chennai/...","qt
development
leadership
c++",24 Days Ago,
Mindtree is hiring Senior Developers/Leads-ONLY Immediate Joiners,Mindtree,4.1,4021 Reviews,5-10 Yrs,Not disclosed,"Hybrid - Bhubaneswar, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR","Using technologies like Entity Framework, ADO.NET, JQuery, Cobra, Ajax, HTML 5 and CSS....",".NETMVC
hiring
development
senior",26 Days Ago,
Technical Architect- .Net MVC,Mindtree,4.1,4021 Reviews,15-22 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",We have an urgent requirement for .NET Technical Architect Position: . . : As a Technic...,"Net Mvc
ARCHITECT
.net
management
mvc
technical
technical architecture
architecture",28 Days Ago,
Autosar SW Development and Integration,Tata Elxsi,4.1,1093 Reviews,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Calicut/Kozhikode, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",Designation: Engineers / Senior Engineers / Specialist . . Qualification: BE/ B Tech/ M...,"AUTOSAR
embedded c
integration
i2c
com stack
sw
embedded systems
autosar development",24 Days Ago,
Excellent Job Opportunity - SRE Engineering - Altimetrik,Altimetrik,4,583 Reviews,6-10 Yrs,20-35 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Jaipur, Bangalore/Bengaluru",o Professional Certification is an advantage. . o Public Cloud >> GCP is a good to have...,"Terraform
Aws Cloud
Helm Charts
Iac
engineering
helm
aws
charts",15 Days Ago,
HMI Developer,Tata Elxsi,4.1,1093 Reviews,2-7 Yrs,10-18 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",Experience : 2 - 12 Years . . Job Location : PUNE / BANGALORE / CHENNAI / HYDERABAD / T...,"C++
HMI
Automotive
infotainment
hmi design
development",23 Days Ago,
Informatica Developer,Cognizant,3.9,31515 Reviews,4-9 Yrs,7-17 Lacs PA,"Kochi/Cochin, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Coimbatore, Bangalore/Bengaluru","Should work on various components of Informatica like Informatica Designer, monitor and...","informatica
development
etl
informatica development",28 Days Ago,
Senior Engineer (Linux BSP),Einfochips,3.8,253 Reviews,3-8 Yrs,Not disclosed,"Noida, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru",Responsible for design and development of real time embedded software / firmware and PC...,"linux device drivers
board support package
linux kernel programming
devices
senior
linux bsp
linux kernel
drives",30 Days Ago,
Azure Architect/ Team Lead,Wipro,3.9,24792 Reviews,11-21 Yrs,10-16 Lacs PA,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Azure- PaaS (Azure Web apps, Azure functions, Logic Apps, Storage account, Azure SQL, A...","azure paas
cd
paas
functional
storage account
ci/cd
architecture
application",16 Days Ago,
Autosar/Automotive Embedded opening @ Tata Elxsi,Tata Elxsi,4.1,1093 Reviews,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Calicut/Kozhikode, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram","Dear Candidate, We have open positions for Autosar/Embedded requirements across locatio...","embedded c
davinci
embedded systems
codewarrior
automotive
c
uds
canoe",16 Days Ago,
Sr Associate/ Manager,Cognizant,3.9,31515 Reviews,6-11 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Should have experience / understanding of DW design and architectural concepts Technica...,"pyspark
Aws Glue
management
glue
cloud
aws cloud
aws
sr",16 Days Ago,
Associate - Quality Assurance (Warehouse),Furlenco,3.3,123 Reviews,1-4 Yrs,3-4 Lacs PA,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Definition:Ensures incoming parts from supply chain companies and internally produced c...,"QC Tools
quality assurance
7Qc
Apqp
Fmea
QMS
PPAP
8D",16 Days Ago,
System Engineer,Tata Elxsi,4.1,1093 Reviews,1-6 Yrs,5-15 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",Role : System Engineer / Requirement Engineer. Experience in System Validation OR. . Go...,"Requirement Engineering
rhapsody
doors
engineering
sysml
uml
system engineering
automotive",16 Days Ago,
NTT Data Business Solutions || Basis L3/ Basis Lead - Permanent,NTT DATA Business Solutions Private Limited,4,4571 Reviews,7-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Hello!!Hope you are doing well & keeping safe.We are looking for a Basis L3/ Basis Lead...,"SAP Basis
Troubleshooting
basis administration
sap
basis
administration
business solutions
data",16 Days Ago,
Vmware Administrator,Cognizant,3.9,31515 Reviews,8-12 Yrs,15-25 Lacs PA,Bangalore/Bengaluru,5+ years of hands-on experience working in the customer support industry supporting VMw...,"Nsx
vmware
Bgp
ospf
EIGRP
vmware administration
administration",13 Days Ago,
"R&D Engineer : C++ : Philips, Bangalore",Philips,4,1051 Reviews,5-8 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Minimum of 5 years of programming experience in C++ Good OOPS concepts,"C++
OOPS
r",13 Days Ago,
Cluster Manager Sales || Bangalore,Stanza Living,3,420 Reviews,5-10 Yrs,11-15 Lacs PA,Bangalore/Bengaluru,"Requirements: 6+ years of prior B2C & B2B Sales & Marketing experience, preferably in a...","team management
management
team
sales management
sales and marketing
sales
sales planning
clustering",13 Days Ago,
Executive/Sr. Executive - Physical Security Operation Centre,CBRE,4.3,2579 Reviews,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Maintain shift activities and record the same in the shift activities mail for proper h...,"security operations
access control system
physical security
security
access control
physical
access system
access",13 Days Ago,
Informatica Consultant,Trigent Software,3.7,299 Reviews,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,We are looking for professionals with 3-7 years of experience in setting up the robust ...,"Informatica Idq
iics
Informatica Powercenter
consulting
informatica
powercenter
etl
informatica admin",13 Days Ago,
Quality Analyst,Frankfinn,3.9,845 Reviews,8-12 Yrs,"50,000-60,000 PA",Bangalore/Bengaluru(Koramangala),Company: Frankfinn aviation servicesJob role: quality analystExperience: 7-9 years(Voic...,"quality analysis
check
quality
quality check
Quality Analyst",13 Days Ago,
BIW Simulation Engineer,Creative Synergies,3.7,189 Reviews,5-9 Yrs,Not disclosed,Bangalore/Bengaluru(Whitefield),Experience: 5 - 9 Years. . Education: BE(Mechanical)/Bachelors Degree. . Work Location:...,"Biw
spot welding
delmia
spot
data validation
biw fixture design
process
fixture design",13 Days Ago,
Sharepoint Developers,Tata Elxsi,4.1,1093 Reviews,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Must have experience in SharePoint Framework (SPFx), Webparts, Extensions Must have kno...","SharePoint developer
sharepoint development
development
sharepoint
framework
sharepoint framework",13 Days Ago,
Compliance Evaluator,TE Connectivity,4.1,647 Reviews,2-4 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,. . Additional Skills Preferred,"REACH
product compliance
change management
ROHS
Regulatory Compliance
change
ms office
microsoft",13 Days Ago,
Indirect Tax,Mphasis,3.7,5161 Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Job qualifications - . . Well verse with ERP systems and be able to download various re...,"Gst Compliance
ERP System
GST law
Gst Return
Indirect Taxation
system
indirect
law",13 Days Ago,
